iter	Passed	Remaining
0	1	142
1	2	136
2	4	131
3	4	119
4	6	119
5	7	116
6	8	114
7	9	112
8	10	110
9	12	108
10	13	106
11	14	106
12	15	106
13	17	104
14	18	103
15	19	101
16	20	100
17	21	99
18	22	97
19	24	96
20	25	94
21	26	93
22	27	92
23	29	93
24	31	94
25	32	93
26	34	92
27	35	90
28	36	89
29	37	87
30	38	86
31	39	84
32	41	83
33	42	82
34	43	80
35	44	79
36	45	78
37	47	76
38	48	75
39	49	74
40	51	73
41	51	71
42	52	70
43	54	68
44	55	67
45	56	66
46	57	65
47	58	63
48	60	62
49	61	61
50	62	59
51	63	58
52	64	57
53	66	56
54	66	54
55	67	53
56	69	52
57	70	50
58	71	49
59	73	48
60	74	47
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	83	39
68	84	38
69	86	36
70	87	35
71	88	34
72	89	33
73	90	31
74	92	30
75	93	29
76	95	28
77	96	27
78	97	26
79	99	24
80	100	23
81	101	22
82	102	21
83	104	19
84	105	18
85	106	17
86	107	16
87	109	14
88	110	13
89	111	12
90	112	11
91	114	9
92	115	8
93	116	7
94	118	6
95	119	4
96	121	3
97	122	2
98	123	1
99	124	0
